mfg=CDE

PartNumber         uF  vod  mm  mm mm mm**2   A  mO nH c/w °C/W kg
947D311K901ACGSN  310  900  85  75 32 31400  67 1.4 30 1.4 3.8 0.5
947D351K901BCMSN  350  900  90  75 45 33900  73 1.2 30 1.3 3.5 0.6
947D371K901ADGSN  370  900  85  87 32 34600  66 1.5 34 1.3 3.5 0.6
947D421K901BDMSN  420  900  90  87 45 37300  75 1.2 33 1.3 3.2 0.6
947D441K901AEGSN  440  900  85 100 32 38100  65 1.7 38 1.2 3.2 0.6
947D441K901CCRSN  440  900 100  75 50 39300  85 1.0 30 1.1 3.1 0.7
947D501K901BEMSN  500  900  90 100 45 41000  74 1.3 37 1.3 2.9 0.7
947D511K901AFGSN  510  900  85 112 32 41300  64 1.9 42 1.2 2.9 0.7
947D541K901CDRSN  540  900 100  87 50 43000  83 1.2 34 1.1 2.8 0.8
947D571K901AGGSN  570  900  85 126 32 45000  63 2.1 46 1.1 2.7 0.8
947D581K901BFMSN  580  900  90 112 45 44400  72 1.5 41 1.3 2.7 0.8
947D601K901DCRSN  600  900 116  75 50 48500 102 0.9 35 0.8 2.5 0.9
947D631K901CERSN  630  900 100 100 50 47100  82 1.3 38 1.0 2.5 0.9
947D641K901AHGSN  640  900  85 136 32 47700  62 2.3 50 1.1 2.5 0.8
947D651K901BGMSN  650  900  90 126 45 48300  71 1.6 45 1.2 2.5 0.9
947D711K901AJGSN  710  900  85 150 32 51400  62 2.5 54 1.1 2.3 0.9
947D731K901BHMSN  730  900  90 136 45 51200  69 1.8 49 1.2 2.3 0.9
947D731K901CFRSN  730  900 100 112 50 50900  81 1.4 42 1.0 2.4 1.0
947D731K901DDRSN  730  900 116  87 50 52800 101 1.0 40 0.8 2.3 1.1
947D781K901ALGSN  780  900  85 162 32 54600  61 2.7 59 1.0 2.2 1.0
947D811K901BJMSN  810  900  90 150 45 55100  68 1.9 53 1.2 2.2 1.0
947D821K901CGRSN  820  900 100 126 50 55300  80 1.6 46 1.0 2.2 1.1
947D861K901DERSN  860  900 116 100 50 57600 100 1.1 45 0.8 2.1 1.2
947D881K901BLMSN  880  900  90 162 45 58500  67 2.1 58 1.2 2.1 1.1
947D921K901CHRSN  920  900 100 136 50 58400  79 1.7 50 1.0 2.1 1.2
947D991K901DFRSN  990  900 116 112 50 62000  99 1.2 50 0.8 1.9 1.3
947D102K901CJRSN 1000  900 100 150 50 62800  78 1.9 54 0.9 1.9 1.3
947D112K901CLRSN 1100  900 100 162 50 66600  77 2.0 59 0.9 1.8 1.4
947D112K901DGRSN 1100  900 116 126 50 67100  98 1.3 55 0.8 1.8 1.5
947D122K901DHRSN 1200  900 116 136 50 70700  96 1.4 60 0.8 1.7 1.6
947D132K901DJRSN 1300  900 116 150 50 75800  95 1.5 65 0.8 1.6 1.7
947D152K901DLRSN 1500  900 116 162 50 80200  94 1.6 70 0.7 1.5 1.8
947D241K102ACGSN  240 1000  85  75 32 31400  63 1.5 30 1.4 3.8 0.5

PartNumber         uF  vod  mm  mm mm mm**2   A  mO nH c/w °C/W kg
947D271K102BCMSN  270 1000  90  75 45 33900  69 1.3 30 1.3 3.5 0.6
947D291K102ADGSN  290 1000  85  87 32 34600  62 1.7 34 1.4 3.5 0.6
947D331K102BDMSN  330 1000  90  87 45 37300  71 1.3 33 1.3 3.2 0.6
947D341K102AEGSN  340 1000  85 100 32 38100  61 1.9 38 1.3 3.2 0.6
947D341K102CCRSN  340 1000 100  75 50 39300  81 1.1 30 1.2 3.1 0.7
947D391K102BEMSN  390 1000  90 100 45 41000  70 1.5 37 1.2 2.9 0.7
