mfg=TDK

Vdc=700
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
 360  70  6.6  2.2 1.6  40 5.5  75  95 101 0.5 1 B25690A0367K701
 480  65  6.5  2.2 2.1  40 4.6  75 120 126 0.6 1 B25690A0487K701
 500  70  8.9  3.0 1.6  40 5.0  85  95 101 0.6 1 B25690A0507K701
 560  70 13.0  4.3 1.5  40 4.2  75 155 161 0.8 1 B25690A0567K701
 650  70  8.9  3.0 2.0  40 4.7  85 120 126 0.8 1 B25690A0657K701
 660  70 12.2  4.1 1.4  40 4.6 100  95 101 0.9 2 B25690A0667K701
 680  70 13.1  4.4 1.7  60 4.2  75 176 182 0.9 1 B25690A0687K701
 750  70  8.9  3.0 2.2  40 4.6  85 135 141 0.9 1 B25690A0757K701
 780  70  8.9  3.0 2.0  40 4.5  85 140 146 1.0 1 B25690A0787K701
 780  70 17.8  5.9 1.5  40 4.3  85 155 161 1.1 1 B25690A0787K721
 900  70 12.4  4.1 1.5  40 4.2 100 120 126 1.2 2 B25690A0907K701
 920  80 17.3  5.8 0.7  40 5.3 116  96 102 1.0 3 B25690A0927K703
 950  70 17.8  5.9 1.5  60 4.2  85 176 182 1.2 1 B25690A0957K701
1000  70 12.2  4.1 1.9  40 3.9 100 135 141 1.4 2 B25690A0108K701
1100  70 12.5  4.2 1.9  40 3.8 100 140 146 1.5 2 B25690A0118K701
1100  70 25.2  8.4 1.0  40 3.4 100 155 161 1.6 2 B25690A0118K721
1200  80 16.6  5.5 1.0  40 4.9 116 121 127 1.4 3 B25690A0128K703
1300  70 24.4  8.1 1.1  60 3.1 100 176 182 2.0 2 B25690A0138K701
1400  70 18.0  6.0 1.4  90 3.2  85 252 258 1.6 1 B25690A0148K701
1500  80 17.1  5.7 1.1  40 4.8 116 141 147 1.6 3 B25690A0158K703
1500 100 34.3 11.4 1.0  60 3.5 116 155 161 1.8 3 B25690A0158K723
1800 100 33.8 11.3 1.0  60 3.3 116 176 182 2.0 3 B25690A0188K703
2500 100 34.5 11.5 0.9  90 2.6 116 230 236 2.5 3 B25690A0258K703
4400 100 56.8 18.9 0.8  90 2.0 136 304 310 4.5 4 B25690C0448K703
5000 100 55.7 18.6 0.7  90 1.8 136 345 351 5.0 4 B25690C0508K703
5500 100 58.6 19.5 0.7  90 1.6 136 370 376 5.5 4 B25690C0558K703


Vdc=900
