mfg=Kemet

Part number       uF  Vdc dV/dt Ipeak  ESL ESR Irms Rth Dia   Ht    H1     kg
C44UHGT6650M81K  650  600     5  3540   45 1.2   59 7.1  85  99.5  101 5  4.4
C44UHGT6800M82K  800  600     4  3575   50 1.4   57 6.4  85 114.5  116 5  4.8
C44UHGT6900M83K  900  600     4  3590   50 1.6   56 5.8  85 124.5  126 5  5.1
C44UHGT7100M84K 1000  600     4  3600   55 1.7   56 5.6  85 134.5  136 5  5.4
C44UHGT7110M85K 1100  600     3  3615   55 1.8   57 5.1  85 144.5  146 5  5.6
C44UHGT7130M86K 1300  600     5  7080   60 1.1   84 3.8  85 178.5  180 5  6.6
C44UHGT7210M87K 2100  600     3  6900   80 1.7   82 2.6  85 268.5  270 5  9.2

C44UOGT6375M81K  375  900    10  3630   45 1.5   53 7.1  85  99.5  101 5  4.4
C44UOGT6450M82K  450  900     8  3570   50 1.8   51 6.4  85 114.5  116 5  4.8
C44UOGT6500M83K  500  900     7  3545   50 2.0   50 5.8  85 124.5  126 5  5.1
C44UOGT6550M84K  550  900     6  3520   55 2.2   49 5.6  85 134.5  136 5  5.3
C44UOGT6600M85K  600  900     6  3505   55 2.4   49 5.6  85 144.5  146 5  5.6
C44UOGT6700M86K  700  900    10  6775   60 1.3   77 3.8  85 178.5  180 5  6.7
C44UOGT7120M87K 1200  900     6  7010   80 2.0   76 2.6  85 268.5  270 5  9.1
C44UOGT6900M51K  900  900     7  6380   45 1.2   82 3.7 116 133.0  136 4  7.2
C44UOGT7110M52K 1100  900     6  6425   55 1.4   81 3.2 116 153.0  156 4  8.0
C44UOGT7180M53K 1800  900     7 12765   75 1.2  100 2.1 116 233.0  236 4 11.4
C44UOGT7210M54K 2100  900     6 12265   80 1.5  100 1.8 116 273.0  276 4 13.1

C44UQGT6240M81K  240 1100    12  2905    45 1.8  48 7.1  85  99.5  101 5  4.4
C44U0GT6290M82K  290 1100    10  2880    5O 2.1  47 6.4  85 114.5  116 5  4.8
C44UQGT6320M83K  320 1100     9  2835    50 2.4  46 5.8  85 124.5  126 5  5.1
C44UQGT6360M84K  360 1100     8  2880    55 2.6  45 5.6  85 134.5  136 5  5.3
C44UQGT64OOM85K  400 1100     7  2920    55 2.8  45 5.1  85 144.5  146 5  5.6
C44UQGT6460M86K  460 1100    12  5565    60 1.5  72 3.8  85 178.5  180 5  6.6
C44UQGT6760M87K  760 1100     7  5550    80 2.3  70 2.6  85 268.5  270 5  9.1
C44UQGT656OM51K  560 1100     9  4965    45 1.5  73 3.7 116 133.0  136 4  7.2
C44UQGT6700M52K  700 1100     7  5110    55 1.7  74 3.2 116 153.0  156 4  8.0
C44UQGT7110M53K 1100 1100     9  9750    75 1.4 100 2.1 116 233.0  236 4 11.5
C44UQGT7140MS4K 1400 1100     7 10220    80 1.6 100 1.8 116 273.0  276 4 13.1

C44UUGT6165M81K  165 1300    15  2395    45 2.1  44 7.1  85  99.5  101 5  4.4
C44UUGT6200M82K  200 1300    12  2380    50 2.5  43 6.4  85 114.5  116 5  4.8
C44UUGT6220M83K  220 1300    11  2340    50 2.8  42 5.8  85 124.5  126 5  5.1
C44UUGT6250M84K  250 1300    10  2400    55 3.0  42 5.6  85 134.5  136 5  5.3
C44UUGT6270M85K  270 1300     9  2365    55 3.3  42 5.1  85 144.5  146 5  5.6
C44UUGT6320M86K  320 1300    15  4645    60 1.7  68 3.8  85 178.5  180 5  6.6
C44UUGT6530M87K  530 1300     9  4640    80 2.6  66 2.6  85 268.5  270 5  9.1
C44UUGT6400M51K  400 1300    11  4255    45 1.7  69 3.7 116 133.0  136 4  7.2
C44UUGT6470M52K  470 1300     9  4120    55 2.0  68 3.2 116 153.0  156 4  8.1
C44UUGT6780M53K  780 1300    11  8295    75 L.5  97 2.1 116 233.0  236 4 11.4
C44UUGT6950M54K  950 1300     9  8325    80 1.8  96 1.8 116 273.0  276 4 13.1

C44USGT6120M81K  120 1500    17  2030    45 2.5  41 7.1  85  99.5  101 5  4.4
C44USGT6145M82K  145 1500    14  2015    50 2.9  40 6.4  85 114.5  116 5  4.8
C44USGT6165M83K  165 1500    12  2045    50 3.2  40 5.8  85 124.5  126 5  5.4
C44USGT6180M84K  180 1500    11  2015    55 3.5  39 5.6  85 134.5  136 5  5.4
C44USGT6200M85K  200 1500    10  2045    55 3.8  39 5.1  85 144.5  146 5  5.6
C44USGT6230M86K  230 1500    17  3895    60 1.9  64 3.8  85 178.5  180 5  6.7
C44USGT6400M87K  400 1500    10  4085    80 2.8  64 2.6  85 268.5  270 5  9.1
C44USGT6300M51K  300 1500    12  3720    45 1.9  65 3.7 116 133.0  136 4  7.2
C44USGT6350M52K  350 1500    10  3575    55 2.3  63 3.2 116 153.0  156 4  8.1
C44USGT6550M53K  550 1500    12  6825    75 1.7  91 2.1 116 233.0  236 4 11.7
C44USGT6700M54K  700 1500    10  7155    80 1.9  93 1.8 116 273.0  276 4 13.1

C44UVGT5900M81K   90  1800   19  1740    45  2.8 38 7.1  85  99.5  101 5  4.4
C44UVGT6110M82K  110  1800   16  1745    50  3.3 37 6.4  85 114.5  116 5  4.8
C44UVGT6125M83K  125  1800   14  1770    50  3.6 37 5.8  85 124.5  126 5  5.1
C44UVGT6140M84K  140  1800   13  1795    55  3.9 37 5.6  85 134.5  136 5  5.4
C44UVGT6150M85K  150  1800   12  1750    55  4.3 37 5.1  85 144.5  146 5  5.7
C44UVGT6175M86K  175  1800   19  3385    60  2.1 61 3.8  85 178.5  180 5  6.7
C44UVGT6300M87K  300  1800   12  3505    80  3.2 60 2.6  85 268.5  270 5  9.1
C44UVGT6220M51K  220  1800   14  3120    45  2.2 60 3.7 116 133.0  136 4  7.3
C44UVGT6275M52K  275  1800   12  3210    55  2.5 61 3.2 116 153.0  156 4  8.1
C44UVGT6450M53K  450  1800   14  6380    75  1.8 89 2.1 116 233.0  236 4 11.4
C44UVGT6550M54K  550  1800   12  6425    80  2.1 89 1.8 116 273.0  276 4 13.4

